Marker,Clinical_Variable,N,Beta_clinical_adj_age,Beta_ci95_low,Beta_ci95_high,P_clinical_adj_age,Shapiro_resid_p,BreuschPagan_p,Max_CooksD,Frac_CooksD_gt_4_over_n,Max_VIF_nonconst,Age_quad_delta_AIC,Clinical_quad_delta_AIC,Assumption_flag,Inference_tier,P_q_fdr
abd_mir146a,plaque_index,108,0.6209547874023147,0.4260441415414373,0.815865433263192,6.5464391869477316e-09,0.21748293001579333,0.19696819866033047,0.07732208863276471,0.046296296296296294,1.1624356043702044,-1.9505922444407986,3.8858497096733515,pass,tentative_adjusted,1.2274573475526997e-08
abd_mir146a,gingival_index,108,0.6796875789198035,0.44982046105890783,0.9095546967806991,5.315683379402666e-08,0.12891517796750646,0.08285684053681791,0.3259408536776768,0.037037037037037035,1.1583248334472813,-1.9966407043696108,8.769441483377534,pass,tentative_adjusted,8.393184283267367e-08
abd_mir146a,pocket_depth,108,0.4687820423572615,0.3033485021458295,0.6342155825686935,1.5930433518550144e-07,0.01051913890656084,0.9608884666956146,0.12219252500148367,0.018518518518518517,1.5596347619716664,-1.4383590678399116,0.9159036570738408,review,exploratory_adjusted,2.0778826328543664e-07
abd_mir146a,bleeding_on_probing,108,0.01625134325683221,0.01071629684892485,0.02178638966473957,6.406992210298477e-08,0.005404579389847557,0.8474206937562788,0.07861272503875928,0.046296296296296294,1.4449235289909472,-1.982613498679001,4.916571963990691,review,exploratory_adjusted,9.610488315447716e-08
abd_mir146a,number_of_missing_teeth,108,-0.06951092066745537,-0.2158884019003489,0.07686656056543814,0.3485647912533096,0.19055194310095697,0.15108617463289495,0.08358375644025103,0.037037037037037035,1.1161494439698547,-1.7595065592564367,-0.8515336891649099,pass,tentative_adjusted,0.41827774950397145
abd_mir146b,plaque_index,108,0.639041156989724,0.4518335281365343,0.8262487858429136,7.670119341837946e-10,0.9778093297881365,0.5187897900037309,0.2765670262014378,0.037037037037037035,1.1624356043702044,1.8564909070382214,1.7806164526289763,pass,tentative_adjusted,2.301035802551384e-09
abd_mir146b,gingival_index,108,0.7546675905490657,0.5401548022546604,0.9691803788434711,2.816314433552983e-10,0.6352029814466275,0.4552589428435778,0.3341236887149832,0.05555555555555555,1.1583248334472813,0.9210035121801354,4.310700547714333,review,exploratory_adjusted,1.0561179125823686e-09
abd_mir146b,pocket_depth,108,0.39508899597418656,0.22676552105021244,0.5634124708981607,9.544352670996055e-06,0.21742326283744634,0.6896403152269125,0.3053787145099608,0.027777777777777776,1.5596347619716664,2.543813081638291,0.1286735066852316,pass,tentative_adjusted,1.1930440838745068e-05
abd_mir146b,bleeding_on_probing,108,0.01789935602645626,0.01271151205747044,0.02308719999544208,5.401192186002943e-10,0.24153758439389733,0.9164832704706974,0.24958393432212417,0.037037037037037035,1.4449235289909472,1.716048841976999,-0.361665300158478,pass,tentative_adjusted,1.8003973953343145e-09
abd_mir146b,number_of_missing_teeth,108,-0.013391695040345541,-0.15740258589204761,0.13061919581135653,0.8540681177671612,0.10139006748568374,0.37645842252334155,0.16532638364845018,0.06481481481481481,1.1161494439698547,-1.187878528476972,-1.763084787494222,review,exploratory_adjusted,0.883518742517753
abd_mir155,plaque_index,108,0.604344335724575,0.4251558391088841,0.7835328323402659,1.1316206716693675e-09,0.6421600111117839,0.7061488358608558,0.11007090584174326,0.037037037037037035,1.1624356043702044,-1.9755461089787332,3.163806516660202,pass,tentative_adjusted,2.8290516791734186e-09
abd_mir155,gingival_index,108,0.7414319751244536,0.5397749815428761,0.9430889687060311,6.041196328439319e-11,0.587320473841733,0.2819098320293124,0.23733365155477518,0.037037037037037035,1.1583248334472813,-1.8423933626297924,4.28463246095987,pass,tentative_adjusted,4.5308972463294894e-10
