Marker,Clinical_Variable,Beta_clinical_adj_age,P_clinical_adj_age,N,P_q_fdr,Reject_fdr05
abd_mir146a,plaque_index,0.6209547874023147,6.5464391869477316e-09,108,1.2274573475526997e-08,True
abd_mir146a,gingival_index,0.6796875789198035,5.315683379402666e-08,108,8.393184283267367e-08,True
abd_mir146a,pocket_depth,0.4687820423572615,1.5930433518550144e-07,108,2.0778826328543664e-07,True
abd_mir146a,bleeding_on_probing,0.01625134325683221,6.406992210298477e-08,108,9.610488315447716e-08,True
abd_mir146a,number_of_missing_teeth,-0.06951092066745537,0.3485647912533096,108,0.41827774950397145,False
abd_mir146b,plaque_index,0.639041156989724,7.670119341837946e-10,108,2.301035802551384e-09,True
abd_mir146b,gingival_index,0.7546675905490657,2.816314433552983e-10,108,1.0561179125823686e-09,True
abd_mir146b,pocket_depth,0.39508899597418656,9.544352670996055e-06,108,1.1930440838745068e-05,True
abd_mir146b,bleeding_on_probing,0.01789935602645626,5.401192186002943e-10,108,1.8003973953343145e-09,True
abd_mir146b,number_of_missing_teeth,-0.013391695040345541,0.8540681177671612,108,0.883518742517753,False
abd_mir155,plaque_index,0.604344335724575,1.1316206716693675e-09,108,2.8290516791734186e-09,True
abd_mir155,gingival_index,0.7414319751244536,6.041196328439319e-11,108,4.5308972463294894e-10,True
abd_mir155,pocket_depth,0.5155215694118146,2.1491763798734885e-10,108,9.210755913743522e-10,True
abd_mir155,bleeding_on_probing,0.01946757177131348,2.5051649850063555e-13,108,7.515494955019066e-12,True
abd_mir155,number_of_missing_teeth,0.00581279701199057,0.933289024708955,108,0.933289024708955,False
abd_mir203,plaque_index,0.7810951979888101,3.298651437286886e-11,108,3.298651437286886e-10,True
abd_mir203,gingival_index,0.8099831108674327,6.18603885297678e-09,108,1.2274573475526997e-08,True
abd_mir203,pocket_depth,0.6473280744264271,2.385521695005572e-11,108,3.298651437286886e-10,True
abd_mir203,bleeding_on_probing,0.020258258976913017,1.1096371257321312e-09,108,2.8290516791734186e-09,True
abd_mir203,number_of_missing_teeth,-0.031128771653045284,0.7098364229977432,108,0.788707136664159,False
abd_mir223,plaque_index,0.8238819584241968,1.8979377178523383e-10,108,9.210755913743522e-10,True
abd_mir223,gingival_index,0.808581562308897,1.5421068199829743e-07,108,2.0778826328543664e-07,True
abd_mir223,pocket_depth,0.5876948064365144,7.896738728368327e-08,108,1.1281055326240468e-07,True
abd_mir223,bleeding_on_probing,0.020857321256591874,1.2397952615995146e-08,108,2.187873991057967e-08,True
abd_mir223,number_of_missing_teeth,-0.02255051949765953,0.804723117968755,108,0.8622033406808088,False
abd_mir381p,plaque_index,0.8052243307533301,1.37390261508319e-10,108,8.24341569049914e-10,True
abd_mir381p,gingival_index,0.8633125189168096,4.6695155467714115e-09,108,1.0006104743081595e-08,True
abd_mir381p,pocket_depth,0.5913588067190628,2.2126088996196218e-08,108,3.6876814993660366e-08,True
abd_mir381p,bleeding_on_probing,0.020792942059477793,4.2999305496182105e-09,108,9.922916652965101e-09,True
abd_mir381p,number_of_missing_teeth,0.042601295992740096,0.6304347734596787,108,0.7274247386073215,False
