Marker,Clinical_Variable,Spearman_r,Spearman_p,Spearman_q_fdr,Reject_fdr05
abd_mir146a,plaque_index,0.6092098317203055,2.6327540982135104e-12,4.936413934150332e-12,True
abd_mir146a,gingival_index,0.582529452635963,3.751888122645785e-11,6.253146871076308e-11,True
abd_mir146a,pocket_depth,0.49909922944912166,3.841838619936213e-08,4.802298274920266e-08,True
abd_mir146a,bleeding_on_probing,0.626212391110489,4.236701724904977e-13,8.473403449809954e-13,True
abd_mir146a,number_of_missing_teeth,0.09484680363779706,0.32886096660731506,0.32886096660731506,False
abd_mir146b,plaque_index,0.6336534624199183,1.8380819119298573e-13,4.595204779824642e-13,True
abd_mir146b,gingival_index,0.6337498458967395,1.8180383910565712e-13,4.595204779824642e-13,True
abd_mir146b,pocket_depth,0.515875047294787,1.1044755203166367e-08,1.440620243891265e-08,True
abd_mir146b,bleeding_on_probing,0.6663816319379171,3.5150816899709967e-15,2.6363112674782476e-14,True
abd_mir146b,number_of_missing_teeth,0.13834858608021952,0.1533186006627324,0.1586054489614473,False
abd_mir155,plaque_index,0.6059966569831788,3.6734690408697625e-12,6.482592425064287e-12,True
abd_mir155,gingival_index,0.6456704737831562,4.5452433261e-14,1.7044662472875e-13,True
abd_mir155,pocket_depth,0.578001708161044,5.751942711038872e-11,9.082014806903482e-11,True
abd_mir155,bleeding_on_probing,0.7058966459419496,1.443956408927461e-17,2.1659346133911915e-16,True
abd_mir155,number_of_missing_teeth,0.17623057591086752,0.06808589046795616,0.07565098940884017,False
abd_mir203,plaque_index,0.6756933157048841,1.0394957362519591e-15,1.0394957362519591e-14,True
abd_mir203,gingival_index,0.6573487210037621,1.1001262768172438e-14,5.500631384086219e-14,True
abd_mir203,pocket_depth,0.6365533399607642,1.3193642296882592e-13,3.958092689064778e-13,True
abd_mir203,bleeding_on_probing,0.7082836119639457,1.0063517433280237e-17,2.1659346133911915e-16,True
abd_mir203,number_of_missing_teeth,0.18873050707746838,0.050448711214830765,0.0582100514017278,False
abd_mir223,plaque_index,0.6307716139617583,2.5466948317901757e-13,5.876988073361944e-13,True
abd_mir223,gingival_index,0.5673222362796569,1.536185289517409e-10,2.3042779342761134e-10,True
abd_mir223,pocket_depth,0.5417153350697682,1.411508404616541e-09,1.924784188113465e-09,True
abd_mir223,bleeding_on_probing,0.6290572695096781,3.0868939262178433e-13,6.614772699038235e-13,True
abd_mir223,number_of_missing_teeth,0.1693220282554968,0.0798007520173208,0.08550080573284372,False
abd_mir381p,plaque_index,0.6530332738979735,1.8717784932721177e-14,8.021907828309075e-14,True
abd_mir381p,gingival_index,0.6366537968149111,1.3042144469525334e-13,3.958092689064778e-13,True
abd_mir381p,pocket_depth,0.5424191963986821,1.3313090381905775e-09,1.901870054557968e-09,True
abd_mir381p,bleeding_on_probing,0.6632477826436022,5.245417454086284e-15,3.1472504724517706e-14,True
abd_mir381p,number_of_missing_teeth,0.23300236129241625,0.015234500111010314,0.018281400133212375,True
