Task,Variable,n1,n2,Shapiro_p_group1,Shapiro_p_group2,Levene_p,Primary_inference_path,Sensitivity_inference_path,Cliffs_delta,Cliffs_delta_boot_median,Cliffs_delta_ci95_low,Cliffs_delta_ci95_high,MedianDiff_boot_median_g2_minus_g1,MedianDiff_ci95_low,MedianDiff_ci95_high,Sample_size_fragility
Task1_S_vs_G,mean_mir146a,36,36,0.00044926442323928113,1.729537440219219e-08,0.011613970540752205,Mann-Whitney U,Welch t-test,0.25925925925925924,0.25462962962962965,-0.009297839506172837,0.5123842592592592,-0.11916666750000005,-0.3183333349999984,0.02841666837499918,none
Task1_S_vs_G,mean_mir146b,36,36,0.0017190291442529043,2.4000186851364485e-08,0.011508409756951707,Mann-Whitney U,Welch t-test,0.34953703703703703,0.35223765432098764,0.0970679012345679,0.5995756172839506,-0.15166666499999337,-0.41504166675000603,0.02004166662499603,none
Task1_S_vs_G,mean_mir155,36,36,0.0807086788347356,2.0153622071173666e-08,0.015206272971434405,Mann-Whitney U,Welch t-test,0.30324074074074076,0.30632716049382713,0.03624614197530864,0.5640625,-0.17499999999999716,-0.34341666837499696,-0.0066666699999942125,none
Task1_S_vs_G,mean_mir203,36,36,0.0706035847197445,3.3083036638517318e-09,0.014888294687455915,Mann-Whitney U,Welch t-test,0.033950617283950615,0.02700617283950617,-0.2407600308641975,0.26547067901234567,0.006666670000001318,-0.14999999999999858,0.16508333337499909,none
Task1_S_vs_G,mean_mir223,36,36,0.013067486089107136,3.864180758555877e-09,0.017201080761350563,Mann-Whitney U,Welch t-test,0.06558641975308642,0.05709876543209876,-0.21612654320987654,0.32795138888888886,-0.04166666999999791,-0.21666667000000217,0.1449999999999962,none
Task1_S_vs_G,mean_mir381p,36,36,0.17514123980187923,4.413995647414686e-09,0.018674053984980385,Mann-Whitney U,Welch t-test,0.10802469135802469,0.10648148148148148,-0.16824845679012346,0.3558834876543209,-0.09666666500000076,-0.2733333300000069,0.1617500032500023,none
Task1_S_vs_G,dct_mir146a,36,36,0.003755533044767119,0.007388658772640886,0.9983803147769373,Mann-Whitney U,Welch t-test,0.48842592592592593,0.49151234567901236,0.24054783950617284,0.7006558641975308,-0.5383333299999968,-1.040041666624999,-0.2116249983750062,none
Task1_S_vs_G,dct_mir146b,36,36,0.20505763195619858,0.028688102176579664,0.7955578744794275,Mann-Whitney U,Welch t-test,0.5277777777777778,0.5324074074074074,0.2754050925925926,0.7268904320987654,-0.49583333000000174,-0.9434166632499982,-0.20966666674999418,none
Task1_S_vs_G,dct_mir155,36,36,0.8760538691377984,0.05501257165248487,0.5099966403553507,Mann-Whitney U,Welch t-test,0.5108024691358025,0.5138888888888888,0.2576774691358025,0.7299575617283951,-0.40166666999999734,-0.7583749967499992,-0.20658333162499315,none
Task1_S_vs_G,dct_mir203,36,36,0.46751480575688753,1.8103068085169692e-06,0.01914084473611077,Mann-Whitney U,Welch t-test,0.35030864197530864,0.3452932098765432,0.08177083333333333,0.5818287037037037,-0.26333332999999826,-0.4435416633750015,-0.031583331749999555,none
Task1_S_vs_G,dct_mir223,36,36,0.6535152959343091,2.09028330949092e-06,0.03716764313335026,Mann-Whitney U,Welch t-test,0.30632716049382713,0.3051697530864198,0.0369212962962963,0.5579282407407407,-0.12500000250000198,-0.4417916697499966,0.07999999499999788,none
Task1_S_vs_G,dct_mir381p,36,36,0.7641756236261084,2.7934231884853753e-05,0.025581515449649064,Mann-Whitney U,Welch t-test,0.45447530864197533,0.46141975308641975,0.1866898148148148,0.6628858024691358,-0.2724999999999955,-0.45845833000000213,-0.09999999999999432,none
Task1_S_vs_G,mean_GAPDH,36,36,0.00020864735539719915,3.898800736577157e-09,0.04471385583111064,Mann-Whitney U,Welch t-test,-0.09027777777777778,-0.08719135802469136,-0.3480902777777778,0.17444058641975302,0.06333332999999897,-0.09666666500000076,0.24837499675000116,none
Task1_S_vs_G,global_mean_ct_all7_proxy,36,36,0.09450135895781347,2.565677170811889e-09,0.017269872002442323,Mann-Whitney U,Welch t-test,0.18209876543209877,0.18055555555555555,-0.06801697530864197,0.43676697530864195,-0.05095238000000535,-0.13342261857143392,0.040261904517856786,none
Task1_S_vs_G,global_mean_ct_miRNA_only_proxy,36,36,0.17700721164359468,2.95780323258383e-09,0.015296907261027632,Mann-Whitney U,Welch t-test,0.18209876543209877,0.18209876543209877,-0.0804398148148148,0.444483024691358,-0.05555555499999798,-0.15815972083333898,0.06700694418750584,none
Task2_G_vs_P,mean_mir146a,36,36,1.729537440219219e-08,0.15323561086820614,0.030904541315526293,Mann-Whitney U,Welch t-test,0.7391975308641975,0.7515432098765432,0.5478009259259259,0.9228395061728395,-6.001666665,-6.401958331875001,-5.7564583317499975,none
Task2_G_vs_P,mean_mir146b,36,36,2.4000186851364485e-08,0.6958519348213689,0.02564430665887763,Mann-Whitney U,Welch t-test,0.7361111111111112,0.75,0.5277777777777778,0.936766975308642,-6.0366666700000025,-6.325124999999999,-5.70658332675,none
Task2_G_vs_P,mean_mir155,36,36,2.0153622071173666e-08,0.0807684704973019,0.025179364352944093,Mann-Whitney U,Welch t-test,0.7700617283950617,0.7854938271604939,0.5787037037037037,0.9429012345679012,-6.186666664999997,-6.356708336625003,-5.974958328499998,none
Task2_G_vs_P,mean_mir203,36,36,3.3083036638517318e-09,0.6844100423438298,0.04060129737724139,Mann-Whitney U,Welch t-test,0.7098765432098766,0.7268518518518519,0.49062500000000003,0.9189814814814815,-6.765000004999997,-7.073458334875001,-6.523333334875004,none
Task2_G_vs_P,mean_mir223,36,36,3.864180758555877e-09,0.2844859387798116,0.08079768478438747,Mann-Whitney U,Welch t-test,0.7546296296296297,0.7685185185185185,0.5755015432098766,0.9197530864197531,-6.879999997500004,-7.366666670000001,-6.604958338125001,none
Task2_G_vs_P,mean_mir381p,36,36,4.413995647414686e-09,0.049382389694996004,0.05158440036843814,Mann-Whitney U,Welch t-test,0.7824074074074074,0.7962962962962963,0.592554012345679,0.9475694444444444,-6.966666665000005,-7.18,-6.503333340000001,none
Task2_G_vs_P,dct_mir146a,36,36,0.007388658772640886,0.2118565780042428,0.8577984235969996,Mann-Whitney U,Welch t-test,0.5478395061728395,0.5509259259259259,0.3209490740740741,0.7592978395061728,-0.5658333349999989,-0.8850833334999998,-0.316583331624998,none
Task2_G_vs_P,dct_mir146b,36,36,0.028688102176579664,0.2523990728138096,0.654349716035164,Mann-Whitney U,Welch t-test,0.4853395061728395,0.49074074074074076,0.2731095679012346,0.7207368827160493,-0.3883333399999991,-0.8499999999999996,-0.23999999975000033,none
Task2_G_vs_P,dct_mir155,36,36,0.05501257165248487,0.3138052401928912,0.3458146488832461,Mann-Whitney U,Welch t-test,0.6419753086419753,0.6604938271604939,0.4212577160493827,0.8364197530864198,-0.8874999974999991,-1.0683749965000016,-0.5315000079999971,none
Task2_G_vs_P,dct_mir203,36,36,1.8103068085169692e-06,0.6368441431828937,0.5790079438357457,Mann-Whitney U,Welch t-test,0.691358024691358,0.7037037037037037,0.4783564814814815,0.8950617283950617,-1.323333330000004,-1.5767083366250014,-1.0965833366250048,none
Task2_G_vs_P,dct_mir223,36,36,2.09028330949092e-06,0.6943835427960499,0.48430545695035176,Mann-Whitney U,Welch t-test,0.6651234567901234,0.6774691358024691,0.45987654320987653,0.8611111111111112,-1.5150000000000006,-1.9585416632499968,-1.186666664874997,none
Task2_G_vs_P,dct_mir381p,36,36,2.7934231884853753e-05,0.02544478510253709,0.7316683334960906,Mann-Whitney U,Welch t-test,0.6419753086419753,0.6527777777777778,0.4212191358024691,0.8472993827160493,-1.583333327500001,-1.7733333302499998,-1.1250000000000018,none
Task2_G_vs_P,mean_GAPDH,36,36,3.898800736577157e-09,0.6476238675363195,0.026195601524559874,Mann-Whitney U,Welch t-test,0.8449074074074074,0.8564814814814815,0.6882716049382716,0.9691358024691358,-5.294999999999995,-5.450041666624999,-5.126666664999998,none
Task2_G_vs_P,global_mean_ct_all7_proxy,36,36,2.565677170811889e-09,0.6277585876895881,0.015717296742314518,Mann-Whitney U,Welch t-test,0.7283950617283951,0.7376543209876543,0.5138503086419752,0.9367283950617284,-6.296904760000007,-6.42312500042857,-6.195220237196421,none
Task2_G_vs_P,global_mean_ct_miRNA_only_proxy,36,36,2.95780323258383e-09,0.7696340359953789,0.016607696935131786,Mann-Whitney U,Welch t-test,0.7268518518518519,0.7376543209876543,0.5123456790123457,0.9351851851851852,-6.444999999166658,-6.6261180544999965,-6.326340278895837,none
Task3_S_vs_P,mean_mir146a,36,36,0.00044926442323928113,0.15323561086820614,0.036777650454958205,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-6.125,-6.521750003250002,-5.879999999999999,none
Task3_S_vs_P,mean_mir146b,36,36,0.0017190291442529043,0.6958519348213689,0.1253505788887896,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-6.192500000000003,-6.4668333316250015,-5.936666664999997,none
Task3_S_vs_P,mean_mir155,36,36,0.0807086788347356,0.0807684704973019,0.3336935099452187,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-6.365833332499999,-6.559999999999999,-6.134916666624998,none
