Task,Model_Family,Model_Label,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV,NPV,TN,FP,FN,TP
Task1_S_vs_G,small_panel_exploratory,searched_top3_pairs_fold_contained,0.3,0.7029320987654321,0.6111111111111112,0.8333333333333334,0.3888888888888889,0.5769230769230769,0.7,14,22,6,30
Task1_S_vs_G,small_panel_exploratory,searched_top3_pairs_fold_contained,0.5,0.7029320987654321,0.6388888888888888,0.6666666666666666,0.6111111111111112,0.631578947368421,0.6470588235294118,22,14,12,24
Task1_S_vs_G,small_panel_exploratory,searched_top3_pairs_fold_contained,0.7,0.7029320987654321,0.5972222222222222,0.2222222222222222,0.9722222222222222,0.8888888888888888,0.5555555555555556,35,1,28,8
Task1_S_vs_G,demographic_only,AGE+SEX,0.3,0.623070987654321,0.5416666666666666,1.0,0.08333333333333333,0.5217391304347826,1.0,3,33,0,36
Task1_S_vs_G,demographic_only,AGE+SEX,0.5,0.623070987654321,0.625,0.75,0.5,0.6,0.6666666666666666,18,18,9,27
Task1_S_vs_G,demographic_only,AGE+SEX,0.7,0.623070987654321,0.5,0.0,1.0,,0.5,36,0,36,0
Task1_S_vs_G,broader_global_only,global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,0.3,0.5964506172839505,0.4861111111111111,0.9722222222222222,0.0,0.49295774647887325,0.0,0,36,1,35
Task1_S_vs_G,broader_global_only,global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,0.5,0.5964506172839505,0.5833333333333334,0.19444444444444445,0.9722222222222222,0.875,0.546875,35,1,29,7
Task1_S_vs_G,broader_global_only,global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,0.7,0.5964506172839505,0.5833333333333334,0.16666666666666666,1.0,1.0,0.5454545454545454,36,0,30,6
Task1_S_vs_G,combined_model,ABD+Proxy+Demo_select7,0.3,0.7322530864197531,0.5972222222222222,0.9166666666666666,0.2777777777777778,0.559322033898305,0.7692307692307693,10,26,3,33
Task1_S_vs_G,combined_model,ABD+Proxy+Demo_select7,0.5,0.7322530864197531,0.6805555555555556,0.6666666666666666,0.6944444444444444,0.6857142857142857,0.6756756756756757,25,11,12,24
Task1_S_vs_G,combined_model,ABD+Proxy+Demo_select7,0.7,0.7322530864197531,0.5694444444444444,0.19444444444444445,0.9444444444444444,0.7777777777777778,0.5396825396825397,34,2,29,7
Task2_G_vs_P,small_panel_exploratory,searched_top3_pairs_fold_contained,0.3,0.7924382716049383,0.7638888888888888,0.9166666666666666,0.6111111111111112,0.7021276595744681,0.88,22,14,3,33
